,datetime,colB_mas_cercano
6011,44639.032569999996,44639.032569999996
6012,44639.035169999996,44639.03516
6013,44639.03552,44639.035639999995
6014,44639.03587,44639.03586
6015,44639.03622,44639.03633
6016,44639.03657,44639.03655
6017,44639.03692,44639.03703
6018,44639.03727,44639.03725
6019,44639.03761,44639.03772
6020,44639.03796,44639.037939999995
6021,44639.03831,44639.03841
6022,44639.038660000006,44639.03863
6023,44639.03901,44639.039110000005
6024,44639.03936,44639.03933
6025,44639.039710000005,44639.0398
6026,44639.04635,44639.04627
6027,44639.0467,44639.04675
6028,44639.04705,44639.046969999996
6029,44639.0474,44639.047439999995
6030,44639.04775,44639.047660000004
6031,44639.04809,44639.04814
6032,44639.04844,44639.04836
6033,44639.04879,44639.04883
6034,44639.049139999996,44639.04905
6035,44639.04949,44639.049530000004
6036,44639.04984,44639.04975
6037,44639.05018,44639.05022
6038,44639.05053,44639.05044
6039,44639.05088,44639.050910000005
6040,44639.051230000005,44639.05132
6041,44639.05158,44639.05161
6042,44639.05192,44639.051830000004
6043,44639.05227,44639.0523
6044,44639.05262,44639.05271
6045,44639.05297,44639.053
6046,44639.05332,44639.0534
6047,44639.05367,44639.05369
6048,44639.05401,44639.0541
6049,44639.054710000004,44639.054789999995
6050,44639.05506,44639.05508
6051,44639.05541,44639.05549
6052,44639.05575,44639.05578
6053,44639.0561,44639.05618
6054,44639.05645,44639.056469999996
6055,44639.0568,44639.056880000004
6056,44639.05715,44639.057160000004
6057,44639.0575,44639.05757
6058,44639.057839999994,44639.05786
6059,44639.058189999996,44639.058260000005
6060,44639.05854,44639.05855
6061,44639.05889,44639.05896
6062,44639.059239999995,44639.05925
6063,44639.05958,44639.05965
6064,44639.05993,44639.05994
6065,44639.06028,44639.06035
6066,44639.06063,44639.060639999996
6067,44639.06098,44639.06104
6068,44639.061330000004,44639.061330000004
6069,44639.06424,44639.06431
6070,44639.064589999994,44639.064510000004
6071,44639.06494,44639.065
6072,44639.06529,44639.06521
6073,44639.06564,44639.065689999996
6074,44639.065989999996,44639.0659
6075,44639.06634,44639.06639
6076,44639.06669,44639.0666
6077,44639.067039999994,44639.06708
6078,44639.06739,44639.06729
6079,44639.06774,44639.06778
6080,44639.068080000005,44639.067989999996
6081,44639.06843,44639.06847
6082,44639.06878,44639.068680000004
6083,44639.06913,44639.069169999995
6084,44639.06948,44639.06938
6085,44639.06983,44639.06986
6086,44639.07018,44639.07007
6087,44639.070530000005,44639.07056
6088,44639.07088,44639.07076
6089,44639.07123,44639.07125
6090,44639.07158,44639.07146
6091,44639.07193,44639.071939999994
6092,44639.07227,44639.07215
6093,44639.07262,44639.07264
6094,44639.07297,44639.07285
6095,44639.07503,44639.07493
6096,44639.07538,44639.07542
6097,44639.075730000004,44639.07563
6098,44639.07608,44639.07611
6099,44639.07643,44639.07632
6100,44639.07678,44639.076810000006
6101,44639.07712,44639.07701
6102,44639.07747,44639.0775
6103,44639.07782,44639.077710000005
6104,44639.07817,44639.07819
6105,44639.07954,44639.07958
6106,44639.08066,44639.080780000004
6107,44639.08101,44639.081
6108,44639.081360000004,44639.08147
6109,44639.081710000006,44639.08169
6110,44639.08206,44639.082160000005
6111,44639.08241,44639.08238
6112,44639.082760000005,44639.08286
6113,44639.08311,44639.083080000004
6114,44639.08345,44639.08355
6115,44639.0838,44639.08377
6116,44639.08415,44639.08425
6117,44639.0845,44639.08447
6118,44639.08485,44639.08494
6119,44639.0852,44639.08516
6120,44639.08555,44639.08564
6121,44639.0859,44639.08586
6122,44639.08625,44639.08633
6123,44639.0866,44639.08655
6124,44639.08695,44639.08703
6125,44639.087289999996,44639.08725
6126,44639.08764,44639.087719999996
6127,44639.08799,44639.08794
6128,44639.088339999995,44639.088410000004
6129,44639.08869,44639.08863
6130,44639.09072,44639.09072
6131,44639.09107,44639.09119
6132,44639.09142,44639.09141
6133,44639.09177,44639.091889999996
6134,44639.09212,44639.092110000005
6135,44639.092469999996,44639.092580000004
6136,44639.09282,44639.0928
6137,44639.09317,44639.09328
6138,44639.09352,44639.0935
6139,44639.09387,44639.09397
6140,44639.09422,44639.094189999996
6141,44639.094560000005,44639.09466
6142,44639.09491,44639.094880000004
6143,44639.09526,44639.09536
6144,44639.095610000004,44639.09558
6145,44639.095960000006,44639.09605
6146,44639.09631,44639.09627
6147,44639.09666,44639.09675
6148,44639.097010000005,44639.09697
6149,44639.09736,44639.09744
6150,44639.09771,44639.09766
6151,44639.098060000004,44639.098139999995
6152,44639.098410000006,44639.09836
6153,44639.09875,44639.09883
6154,44639.0991,44639.09905
6155,44639.09945,44639.09953
6156,44639.0998,44639.09975
6157,44639.10015,44639.10022
6158,44639.1005,44639.100439999995
6159,44639.10085,44639.10091
6160,44639.1012,44639.10113
6161,44639.10155,44639.101610000005
6162,44639.103310000006,44639.1034
6163,44639.10366,44639.103689999996
6164,44639.10401,44639.1041
6165,44639.104360000005,44639.10439
6166,44639.10471,44639.10479
6167,44639.10506,44639.10508
6168,44639.10622,44639.10618
6169,44639.106569999996,44639.10647
6170,44639.10692,44639.10688
6171,44639.10727,44639.10736
6172,44639.10761,44639.10757
6173,44639.10796,44639.107860000004
6174,44639.10831,44639.10826
6175,44639.108660000005,44639.10875
6176,44639.10901,44639.108960000005
6177,44639.10936,44639.10944
6178,44639.109710000004,44639.10965
6179,44639.11006,44639.11014
6180,44639.11041,44639.11035
6181,44639.11076,44639.11083
6182,44639.111110000005,44639.111039999996
6183,44639.11146,44639.11153
6184,44639.1118,44639.11174
6185,44639.11215,44639.112219999995
6186,44639.1125,44639.11243
6187,44639.11285,44639.11292
6188,44639.1132,44639.11313
6189,44639.11355,44639.11361
6190,44639.1139,44639.11382
6191,44639.11628,44639.11619
6192,44639.116630000004,44639.1166
6193,44639.116969999995,44639.11689
6194,44639.11732,44639.117289999995
6195,44639.11767,44639.11758
6196,44639.11802,44639.11799
6197,44639.11837,44639.11828
6198,44639.11872,44639.11868
6199,44639.11907,44639.11917
