"group","P2_ind","V1_date","V1_date_time","V1_date_time_num","Vent_Gate_1","Vent_Gate_2","Seeing_mean"
299,1,"04/23/2022",2022-04-23 06:07:28,1650719248.89551,0,0,0.60354422
0,1,"04/23/2022",2022-04-23 06:09:09,1650719349.40275,0,0,0.52344358
0,1,"04/23/2022",2022-04-23 06:09:59,1650719399.65311,0,0,0.53731579
0,1,"04/23/2022",2022-04-23 06:10:49,1650719449.94636,0,0,0.54634374
0,1,"04/23/2022",2022-04-23 06:11:40,1650719500.24175,0,0,0.49637463
300,1,"04/23/2022",2022-04-23 06:12:30,1650719550.47613,0,0,0.548984066666667
0,1,"04/23/2022",2022-04-23 06:15:01,1650719701.2452,0,0,0.49679929
0,1,"04/23/2022",2022-04-23 06:15:51,1650719751.47234,0,0,0.51265693
301,1,"04/23/2022",2022-04-23 06:17:47,1650719867.70484,0,0,0.824422105
0,1,"04/23/2022",2022-04-23 06:19:28,1650719968.0662,0,0,0.46165557
0,1,"04/23/2022",2022-04-23 06:20:18,1650720018.24174,0,0,0.46777265
302,1,"04/23/2022",2022-04-23 06:21:08,1650720068.52474,0,0,0.512291285
0,1,"04/23/2022",2022-04-23 06:22:48,1650720168.93086,0,0,0.45994753
0,1,"04/23/2022",2022-04-23 06:23:39,1650720219.10513,0,0,0.4593231
0,1,"04/23/2022",2022-04-23 06:24:29,1650720269.39147,0,0,0.51016022
303,1,"04/23/2022",2022-04-23 06:25:19,1650720319.56902,0,0,0.477006585
0,1,"04/23/2022",2022-04-23 06:26:59,1650720419.89738,0,0,0.48766003
0,1,"04/23/2022",2022-04-23 06:27:50,1650720470.17697,0,0,0.47895259
0,1,"04/23/2022",2022-04-23 06:28:40,1650720520.339,0,0,0.47933705
0,1,"04/23/2022",2022-04-23 06:29:30,1650720570.49259,0,0,0.4697811
0,1,"04/23/2022",2022-04-23 06:30:20,1650720620.62943,0,0,0.55590974
304,1,"04/23/2022",2022-04-23 06:31:10,1650720670.86515,0,0,0.52911974
0,1,"04/23/2022",2022-04-23 06:34:31,1650720871.47889,0,0,0.45299268
0,1,"04/23/2022",2022-04-23 06:35:21,1650720921.60259,0,0,0.53755715
305,1,"04/23/2022",2022-04-23 06:36:11,1650720971.71608,0,0,0.564199813333333
0,1,"04/23/2022",2022-04-23 06:38:42,1650721122.19411,0,0,0.65098062
0,1,"04/23/2022",2022-04-23 06:39:32,1650721172.32113,0,0,0.62907695
0,1,"04/23/2022",2022-04-23 06:40:22,1650721222.44643,0,0,0.56190212
0,1,"04/23/2022",2022-04-23 06:41:12,1650721272.70813,0,0,0.4597515
306,1,"04/23/2022",2022-04-23 19:30:00,1650767400.91082,20,20,0.62094121
0,1,"04/23/2022",2022-04-23 19:31:31,1650767491.15458,20,20,0.60569058
0,1,"04/23/2022",2022-04-23 19:32:01,1650767521.23655,20,20,0.65570675
307,1,"04/23/2022",2022-04-23 19:32:31,1650767551.31739,20,20,0.656068975
0,1,"04/23/2022",2022-04-23 19:33:31,1650767611.48012,20,20,0.63961246
0,1,"04/23/2022",2022-04-23 19:34:01,1650767641.56175,20,20,0.64578988
308,1,"04/23/2022",2022-04-23 19:34:31,1650767671.6429,20,20,0.6116689675
0,1,"04/23/2022",2022-04-23 19:36:31,1650767791.96833,20,20,0.74105634
309,1,"04/23/2022",2022-04-23 19:37:02,1650767822.04976,20,20,0.5614555
0,1,"04/23/2022",2022-04-23 19:39:02,1650767942.3753,20,20,0.59739427
0,1,"04/23/2022",2022-04-23 19:39:32,1650767972.45665,20,20,0.57998577
310,1,"04/23/2022",2022-04-23 19:40:02,1650768002.53821,20,20,0.61755327
0,1,"04/23/2022",2022-04-23 19:41:32,1650768092.78201,20,20,0.60231558
311,1,"04/23/2022",2022-04-23 19:42:02,1650768122.86371,20,20,0.4924479
0,1,"04/23/2022",2022-04-23 19:44:03,1650768243.18916,20,20,0.46133276
0,1,"04/23/2022",2022-04-23 19:44:33,1650768273.27035,20,20,0.52061371
0,1,"04/23/2022",2022-04-23 19:45:03,1650768303.35163,20,20,0.56889122
312,1,"04/23/2022",2022-04-23 19:45:33,1650768333.43305,20,20,0.48584937
0,1,"04/23/2022",2022-04-23 19:46:33,1650768393.59584,20,20,0.51050112
313,1,"04/23/2022",2022-04-23 19:47:03,1650768423.67714,20,20,0.621928525
314,1,"04/23/2022",2022-04-23 19:49:04,1650768544.00259,20,20,0.60113007
0,1,"04/23/2022",2022-04-23 19:51:34,1650768694.40941,20,20,0.6793415
0,1,"04/23/2022",2022-04-23 19:52:04,1650768724.49109,20,20,0.88858114
0,1,"04/23/2022",2022-04-23 19:54:44,1650768884.32554,20,20,0.34504703
0,1,"04/23/2022",2022-04-23 19:55:34,1650768934.61889,20,20,0.4596472
0,1,"04/23/2022",2022-04-23 19:56:24,1650768984.90856,20,20,0.43540279
0,1,"04/23/2022",2022-04-23 19:57:15,1650769035.1977,20,20,0.41374348
0,1,"04/23/2022",2022-04-23 19:58:05,1650769085.59527,20,20,0.44948145
0,1,"04/23/2022",2022-04-23 19:58:55,1650769135.90406,20,20,0.52477311
0,1,"04/23/2022",2022-04-23 19:59:46,1650769186.18748,20,20,0.49744648
0,1,"04/23/2022",2022-04-23 20:00:36,1650769236.46738,20,20,0.4978328
315,1,"04/23/2022",2022-04-23 20:01:26,1650769286.84524,20,20,0.499986705
0,1,"04/23/2022",2022-04-23 20:08:59,1650769739.60946,50,50,0.52415525
0,1,"04/23/2022",2022-04-23 20:09:29,1650769769.77333,50,50,0.51524791
0,1,"04/23/2022",2022-04-23 20:09:59,1650769799.93746,50,50,0.59655575
0,1,"04/23/2022",2022-04-23 20:10:30,1650769830.10198,50,50,0.49644382
0,1,"04/23/2022",2022-04-23 20:11:00,1650769860.69309,50,50,1.2164762
0,1,"04/23/2022",2022-04-23 20:11:30,1650769890.85736,50,50,0.74370792
0,1,"04/23/2022",2022-04-23 20:12:01,1650769921.02149,50,50,0.63423081
0,1,"04/23/2022",2022-04-23 20:12:31,1650769951.18567,50,50,0.77277617
0,1,"04/23/2022",2022-04-23 20:13:01,1650769981.34975,50,50,0.77139767
0,1,"04/23/2022",2022-04-23 20:13:31,1650770011.51401,50,50,0.66037098
0,1,"04/23/2022",2022-04-23 20:14:01,1650770041.67815,50,50,0.69109622
0,1,"04/23/2022",2022-04-23 20:14:31,1650770071.84233,50,50,0.69248046
0,1,"04/23/2022",2022-04-23 20:15:02,1650770102.00644,50,50,0.80165883
0,1,"04/23/2022",2022-04-23 20:15:32,1650770132.17074,50,50,0.78007929
0,1,"04/23/2022",2022-04-23 20:16:02,1650770162.33489,50,50,0.72610152
0,1,"04/23/2022",2022-04-23 20:16:32,1650770192.49923,50,50,0.52029707
0,1,"04/23/2022",2022-04-23 20:17:02,1650770222.66311,50,50,0.74348912
0,1,"04/23/2022",2022-04-23 20:17:32,1650770252.82736,50,50,0.89226111
0,1,"04/23/2022",2022-04-23 20:18:02,1650770282.99153,50,50,1.0846116
0,1,"04/23/2022",2022-04-23 20:18:33,1650770313.15568,50,50,1.1940806
0,1,"04/23/2022",2022-04-23 20:19:03,1650770343.32014,50,50,1.2361275
0,1,"04/23/2022",2022-04-23 20:19:33,1650770373.48407,50,50,1.4341897
0,1,"04/23/2022",2022-04-23 20:20:03,1650770403.6482,50,50,1.0599196
0,1,"04/23/2022",2022-04-23 20:20:33,1650770433.81259,50,50,0.86777586
0,1,"04/23/2022",2022-04-23 20:21:03,1650770463.97646,50,50,1.0258065
0,1,"04/23/2022",2022-04-23 20:21:34,1650770494.14075,50,50,1.1123697
0,1,"04/23/2022",2022-04-23 20:22:04,1650770524.30486,50,50,1.2996585
0,1,"04/23/2022",2022-04-23 20:22:34,1650770554.46902,50,50,0.93359216
0,1,"04/23/2022",2022-04-23 20:23:04,1650770584.63315,50,50,1.0504997
0,1,"04/23/2022",2022-04-23 20:23:34,1650770614.79739,50,50,1.1282782
0,1,"04/23/2022",2022-04-23 20:24:04,1650770644.96154,50,50,1.1872103
0,1,"04/23/2022",2022-04-23 20:24:36,1650770676.62387,50,50,1.3235283
0,1,"04/23/2022",2022-04-23 20:25:06,1650770706.78805,50,50,1.1985101
0,1,"04/23/2022",2022-04-23 20:25:36,1650770736.95221,50,50,0.95206181
0,1,"04/23/2022",2022-04-23 20:26:07,1650770767.11642,50,50,0.84224153
0,1,"04/23/2022",2022-04-23 20:26:37,1650770797.28054,50,50,0.91805977
0,1,"04/23/2022",2022-04-23 20:27:07,1650770827.44467,50,50,1.0288827
0,1,"04/23/2022",2022-04-23 20:27:37,1650770857.60894,50,50,1.1714383
0,1,"04/23/2022",2022-04-23 20:28:07,1650770887.77308,50,50,1.266176
0,1,"04/23/2022",2022-04-23 20:28:37,1650770917.93724,50,50,1.2353294
0,1,"04/23/2022",2022-04-23 20:29:08,1650770948.10135,50,50,0.89037434
0,1,"04/23/2022",2022-04-23 20:29:38,1650770978.26558,50,50,0.87740628
0,1,"04/23/2022",2022-04-23 20:30:08,1650771008.42973,50,50,0.8830603
0,1,"04/23/2022",2022-04-23 20:30:38,1650771038.59388,50,50,0.74715399
0,1,"04/23/2022",2022-04-23 20:31:08,1650771068.75799,50,50,0.65108149
0,1,"04/23/2022",2022-04-23 20:31:38,1650771098.92221,50,50,0.7778988
0,1,"04/23/2022",2022-04-23 20:32:09,1650771129.08644,50,50,0.77220936
0,1,"04/23/2022",2022-04-23 20:32:39,1650771159.25065,50,50,0.75333342
0,1,"04/23/2022",2022-04-23 20:33:09,1650771189.41472,50,50,0.84933937
0,1,"04/23/2022",2022-04-23 20:33:39,1650771219.57887,50,50,0.85967032
0,1,"04/23/2022",2022-04-23 20:34:09,1650771249.74309,50,50,1.0057615
0,1,"04/23/2022",2022-04-23 20:34:39,1650771279.90725,50,50,0.86996705
0,1,"04/23/2022",2022-04-23 20:35:10,1650771310.07134,50,50,0.96155384
0,1,"04/23/2022",2022-04-23 20:35:40,1650771340.2356,50,50,0.63600028
0,1,"04/23/2022",2022-04-23 20:36:10,1650771370.39973,50,50,0.63273426
0,1,"04/23/2022",2022-04-23 20:36:40,1650771400.56392,50,50,0.81288709
0,1,"04/23/2022",2022-04-23 20:37:10,1650771430.72804,50,50,0.93947579
0,1,"04/23/2022",2022-04-23 20:37:40,1650771460.89227,50,50,0.81314504
0,1,"04/23/2022",2022-04-23 20:38:11,1650771491.50895,50,50,0.74706319
0,1,"04/23/2022",2022-04-23 20:38:41,1650771521.67305,50,50,0.84065035
0,1,"04/23/2022",2022-04-23 20:39:11,1650771551.83718,50,50,0.78100112
0,1,"04/23/2022",2022-04-23 20:39:42,1650771582.00143,50,50,0.70280133
0,1,"04/23/2022",2022-04-23 20:40:12,1650771612.16564,50,50,0.6308309
0,1,"04/23/2022",2022-04-23 20:40:42,1650771642.32971,50,50,0.54059857
0,1,"04/23/2022",2022-04-23 20:41:12,1650771672.49388,50,50,0.51503094
0,1,"04/23/2022",2022-04-23 20:41:42,1650771702.65809,50,50,0.62906075
0,1,"04/23/2022",2022-04-23 20:42:12,1650771732.82223,50,50,0.55066534
0,1,"04/23/2022",2022-04-23 20:42:42,1650771762.98642,50,50,0.62107718
0,1,"04/23/2022",2022-04-23 20:43:13,1650771793.15061,50,50,0.60552243
0,1,"04/23/2022",2022-04-23 20:43:43,1650771823.31477,50,50,0.59088817
