,datetime,fecha,windSp
280,44562.86042,1/1/22 20:39,6.6
281,44562.86389,1/1/22 20:44,6.2
282,44562.867360000004,1/1/22 20:49,2.5
283,44562.87083,1/1/22 20:54,4.8
284,44562.87431,1/1/22 20:59,3.8
285,44562.87778,1/1/22 21:04,6.3
286,44562.88125,1/1/22 21:09,5.9
287,44562.88472,1/1/22 21:14,4.2
288,44562.88819,1/1/22 21:19,4.4
289,44562.89167,1/1/22 21:24,4.1
290,44562.89514,1/1/22 21:29,3.0
291,44562.898610000004,1/1/22 21:34,3.4
292,44562.90208,1/1/22 21:39,1.2
293,44562.90556,1/1/22 21:44,1.8
294,44562.90903,1/1/22 21:49,3.3
295,44562.91944,1/1/22 22:04,1.9
296,44562.92292,1/1/22 22:09,4.8
297,44562.92639,1/1/22 22:14,4.0
298,44562.929860000004,1/1/22 22:19,3.9
299,44562.93333,1/1/22 22:24,1.8
300,44562.93681,1/1/22 22:29,2.0
301,44562.94028,1/1/22 22:34,3.1
302,44562.94375,1/1/22 22:39,2.2
303,44562.94722,1/1/22 22:44,2.3
304,44562.95069,1/1/22 22:49,2.9
305,44562.961110000004,1/1/22 23:04,2.9
306,44562.96458,1/1/22 23:09,0.7
307,44562.96806,1/1/22 23:14,2.0
308,44562.97847,1/1/22 23:29,1.7
309,44562.98194,1/1/22 23:34,1.4
310,44562.98542,1/1/22 23:39,0.6
311,44562.98889,1/1/22 23:44,0.8
312,44562.99931,1/1/22 23:59,1.2
313,44563.00278,1/2/22 0:04,1.7
314,44563.00625,1/2/22 0:09,0.4
315,44563.00972,1/2/22 0:14,1.8
316,44563.01319,1/2/22 0:19,0.5
317,44563.01667,1/2/22 0:24,2.4
318,44563.02014,1/2/22 0:29,0.7
319,44563.023610000004,1/2/22 0:34,1.9
320,44563.03403,1/2/22 0:49,1.6
321,44563.0375,1/2/22 0:54,1.0
322,44563.04097,1/2/22 0:59,0.8
323,44563.04444,1/2/22 1:04,1.7
324,44563.04792,1/2/22 1:09,0.5
325,44563.05139,1/2/22 1:14,0.6
326,44563.054860000004,1/2/22 1:19,0.8
327,44563.05833,1/2/22 1:24,1.6
328,44563.06181,1/2/22 1:29,1.5
329,44563.06528,1/2/22 1:34,1.2
330,44563.06875,1/2/22 1:39,2.9
331,44563.07222,1/2/22 1:44,3.0
332,44563.08958,1/2/22 2:09,3.3
333,44563.09306,1/2/22 2:14,2.7
334,44563.09653,1/2/22 2:19,2.8
335,44563.1,1/2/22 2:24,2.6
336,44563.10347,1/2/22 2:29,3.6
337,44563.11389,1/2/22 2:44,2.8
338,44563.117360000004,1/2/22 2:49,3.1
339,44563.12083,1/2/22 2:54,3.5
340,44563.12431,1/2/22 2:59,4.5
341,44563.12778,1/2/22 3:04,4.4
342,44563.13125,1/2/22 3:09,4.7
343,44563.13472,1/2/22 3:14,4.5
344,44563.13819,1/2/22 3:19,6.5
345,44563.14167,1/2/22 3:24,7.2
346,44563.14514,1/2/22 3:29,5.8
347,44563.148610000004,1/2/22 3:34,4.1
348,44563.15208,1/2/22 3:39,5.4
349,44563.15556,1/2/22 3:44,5.5
350,44563.15903,1/2/22 3:49,4.1
351,44563.1625,1/2/22 3:54,4.2
352,44563.17292,1/2/22 4:09,3.8
353,44563.17639,1/2/22 4:14,4.9
354,44563.179860000004,1/2/22 4:19,4.6
355,44563.18333,1/2/22 4:24,4.2
356,44563.18681,1/2/22 4:29,4.0
357,44563.19028,1/2/22 4:34,3.8
358,44563.19375,1/2/22 4:39,3.4
359,44563.19722,1/2/22 4:44,3.5
360,44563.20069,1/2/22 4:49,3.1
361,44563.211110000004,1/2/22 5:04,3.4
362,44563.21458,1/2/22 5:09,3.5
363,44563.21806,1/2/22 5:14,3.2
364,44563.22153,1/2/22 5:19,4.0
365,44563.225,1/2/22 5:24,3.7
366,44563.22847,1/2/22 5:29,3.9
367,44563.23194,1/2/22 5:34,4.1
368,44563.23542,1/2/22 5:39,4.4
369,44563.23889,1/2/22 5:44,4.5
370,44563.242360000004,1/2/22 5:49,4.4
371,44563.24583,1/2/22 5:54,3.8
372,44563.24931,1/2/22 5:59,4.4
373,44563.25278,1/2/22 6:04,4.8
374,44563.25625,1/2/22 6:09,4.6
375,44563.25972,1/2/22 6:14,4.7
376,44563.27014,1/2/22 6:29,5.2
377,44563.273610000004,1/2/22 6:34,5.1
378,44563.27708,1/2/22 6:39,5.2
379,44563.28056,1/2/22 6:44,5.3
380,44563.28403,1/2/22 6:49,5.6
381,44563.2875,1/2/22 6:54,4.9
382,44563.29097,1/2/22 6:59,4.7
383,44563.29444,1/2/22 7:04,5.1
384,44563.29792,1/2/22 7:09,5.3
385,44563.30139,1/2/22 7:14,6.4
386,44563.304860000004,1/2/22 7:19,6.2
387,44563.30833,1/2/22 7:24,6.4
388,44563.31181,1/2/22 7:29,6.9
389,44563.31528,1/2/22 7:34,6.2
390,44563.31875,1/2/22 7:39,5.9
391,44563.32222,1/2/22 7:44,5.6
392,44563.32569,1/2/22 7:49,5.7
393,44563.32917,1/2/22 7:54,5.3
394,44563.33264,1/2/22 7:59,5.5
395,44563.336110000004,1/2/22 8:04,5.3
396,44563.33958,1/2/22 8:09,5.6
397,44563.35,1/2/22 8:24,5.2
398,44563.35347,1/2/22 8:29,5.5
399,44563.35694,1/2/22 8:34,5.6
400,44563.36042,1/2/22 8:39,6.0
401,44563.36389,1/2/22 8:44,6.1
402,44563.367360000004,1/2/22 8:49,6.5
403,44563.37083,1/2/22 8:54,6.9
404,44563.37431,1/2/22 8:59,6.4
405,44563.37778,1/2/22 9:04,6.5
406,44563.38125,1/2/22 9:09,6.6
407,44563.38472,1/2/22 9:14,6.5
408,44563.38819,1/2/22 9:19,6.7
409,44563.39167,1/2/22 9:24,6.8
410,44563.39514,1/2/22 9:29,6.4
411,44563.398610000004,1/2/22 9:34,5.8
412,44563.40208,1/2/22 9:39,6.4
413,44563.40556,1/2/22 9:44,6.0
414,44563.40903,1/2/22 9:49,6.5
415,44563.4125,1/2/22 9:54,6.8
416,44563.41597,1/2/22 9:59,7.5
417,44563.41944,1/2/22 10:04,7.3
418,44563.42292,1/2/22 10:09,7.9
419,44563.42639,1/2/22 10:14,0.1
420,44563.429860000004,1/2/22 10:19,7.4
421,44563.43333,1/2/22 10:24,7.6
422,44563.43681,1/2/22 10:29,7.8
423,44563.44028,1/2/22 10:34,7.9
424,44563.45069,1/2/22 10:49,8.8
425,44563.45417,1/2/22 10:54,9.0
426,44563.45764,1/2/22 10:59,8.4
427,44563.461110000004,1/2/22 11:04,8.5
428,44563.46458,1/2/22 11:09,8.4
429,44563.46806,1/2/22 11:14,8.1
430,44563.47153,1/2/22 11:19,7.6
431,44563.475,1/2/22 11:24,7.9
432,44563.47847,1/2/22 11:29,8.3
433,44563.492360000004,1/2/22 11:49,6.7
434,44563.49583,1/2/22 11:54,7.7
435,44563.49931,1/2/22 11:59,6.8
436,44563.50278,1/2/22 12:04,7.1
437,44563.50625,1/2/22 12:09,6.6
438,44563.50972,1/2/22 12:14,7.2
439,44563.51319,1/2/22 12:19,0.1
