fecha,datetime,pwfs2_see
3/17/22 7:48,44637.32544,0.670100599
3/17/22 7:49,44637.32579,0.727831635
3/17/22 7:49,44637.32614,0.701930097
3/17/22 7:50,44637.32649,0.770252533
3/17/22 7:50,44637.32684,0.599282015
3/17/22 7:51,44637.32719,0.770259474
3/17/22 7:51,44637.32754,0.734293235
3/17/22 7:52,44637.32788,0.67963349
3/17/22 7:52,44637.32823,0.589017187
3/17/22 7:53,44637.32858,0.630898824
3/17/22 7:53,44637.32893,0.655253896
3/17/22 7:54,44637.32928,0.721604293
3/17/22 7:54,44637.32963,0.566175805
3/17/22 7:55,44637.32998,0.738449797
3/17/22 7:55,44637.33033,0.651517845
3/17/22 7:56,44637.33068,0.978220049
3/17/22 7:56,44637.33103,0.727350135
3/17/22 7:57,44637.33138,0.773001166
3/17/22 7:57,44637.33172,0.670817762
3/17/22 7:58,44637.33207,0.831916923
3/17/22 7:58,44637.33242,0.649098201
3/17/22 7:59,44637.33277,0.6133128
3/17/22 7:59,44637.33312,0.792083483
3/17/22 8:00,44637.33347,0.504093731
3/17/22 8:00,44637.33382,0.742268249
3/17/22 8:01,44637.33417,0.836837427
3/17/22 8:01,44637.33452,0.493585382
3/17/22 8:02,44637.33487,0.631302418
3/17/22 8:02,44637.33522,0.701283136
3/17/22 8:03,44637.33557,0.695689329
3/17/22 8:04,44637.33653,1.180450354
3/17/22 8:05,44637.33688,1.057032853
3/17/22 8:05,44637.33723,0.822785915
3/17/22 8:06,44637.33758,0.753733505
3/17/22 8:06,44637.33793,0.674423249
3/17/22 8:08,44637.33896,1.399458401
3/17/22 8:08,44637.33931,2.295650591
3/17/22 8:09,44637.33965,1.781513278
3/17/22 8:09,44637.34,1.721326995
3/17/22 8:10,44637.34035,1.736491854
3/17/22 8:10,44637.3407,1.848516689
3/17/22 8:11,44637.34105,1.525996909
3/17/22 8:11,44637.3414,1.593511551
3/17/22 8:12,44637.34175,1.571644265
3/17/22 8:12,44637.3421,1.542110313
3/17/22 8:13,44637.34245,1.53569176
3/17/22 8:13,44637.3428,1.871098015
3/17/22 8:14,44637.34315,1.554890048
3/17/22 8:14,44637.34349,1.478689838
3/17/22 8:15,44637.34384,1.605220412
3/17/22 8:15,44637.34419,1.63469461
3/17/22 8:16,44637.34454,1.823806252
3/17/22 8:16,44637.34489,1.693920077
3/17/22 8:17,44637.34524,2.140731586
3/17/22 8:17,44637.34559,1.622209741
3/17/22 8:18,44637.34594,1.609858618
3/17/22 8:18,44637.34629,1.698125633
3/17/22 8:19,44637.34664,1.608850194
3/17/22 8:19,44637.34699,1.47959655
3/17/22 8:20,44637.34733,1.508003637
3/17/22 8:21,44637.34838,0.499039126
3/17/22 8:22,44637.34873,0.69241347
3/17/22 8:22,44637.34908,0.812453625
3/17/22 8:23,44637.34943,0.665840512
3/17/22 8:23,44637.34978,0.657799155
3/17/22 8:24,44637.35013,0.756632267
3/17/22 8:26,44637.35171,0.602936718
3/17/22 8:26,44637.35206,0.561590529
3/17/22 8:27,44637.35241,0.558037035
3/17/22 8:27,44637.35276,0.47555377
3/17/22 8:28,44637.35311,0.745497835
3/17/22 8:28,44637.35345,0.498991046
3/17/22 8:29,44637.3538,0.565105618
3/17/22 8:29,44637.35415,0.487643064
3/17/22 8:30,44637.3545,0.54023102
3/17/22 8:30,44637.35485,0.555466155
3/17/22 8:31,44637.3552,0.694220332
3/17/22 8:31,44637.35555,0.707387707
3/17/22 8:32,44637.3559,0.744354011
3/17/22 8:33,44637.35625,0.669754393
3/17/22 8:33,44637.3566,0.931460736
3/17/22 8:34,44637.35695,0.770431921
3/17/22 8:34,44637.35729,0.741202358
3/17/22 8:35,44637.35764,0.519624
3/17/22 8:35,44637.35799,0.666008594
3/17/22 8:36,44637.35834,0.690489767
3/17/22 8:36,44637.35869,0.657167277
3/17/22 8:37,44637.35904,0.58023767
3/17/22 8:37,44637.35939,0.654053151
3/17/22 8:38,44637.35974,0.669187088
3/17/22 8:38,44637.36009,0.566172607
3/17/22 8:39,44637.36044,0.497705682
3/17/22 8:39,44637.36079,0.455910532
3/17/22 8:40,44637.36114,0.449481053
3/17/22 8:40,44637.36148,0.488447361
3/17/22 8:41,44637.36183,0.530315366
3/17/22 8:43,44637.36369,0.572061959
3/17/22 8:44,44637.36404,0.619092954
3/17/22 8:44,44637.36438,0.591797669
3/17/22 8:45,44637.36473,0.56055827
3/17/22 8:45,44637.36508,0.739795946
3/17/22 8:46,44637.36543,0.598872781
3/17/22 8:46,44637.36578,0.623736801
3/17/22 8:49,44637.36757,0.656140948
3/17/22 8:49,44637.36792,0.744694629
3/17/22 8:50,44637.36827,0.545398152
3/17/22 8:50,44637.36862,0.964054618
3/17/22 8:53,44637.37039,0.762814913
3/17/22 8:53,44637.37073,0.879262521
3/17/22 8:54,44637.37108,0.662828908
3/17/22 8:54,44637.37143,0.89656663
3/17/22 8:55,44637.37178,0.840875866
3/17/22 8:55,44637.37213,0.829477574
3/17/22 8:56,44637.37248,0.828312175
3/17/22 8:56,44637.37283,0.732119852
3/17/22 8:57,44637.37318,0.755681813
3/17/22 8:57,44637.37353,0.688452092
3/17/22 8:58,44637.37388,0.729571389
3/17/22 8:58,44637.37423,0.826572796
3/17/22 8:59,44637.37457,0.733976165
3/17/22 8:59,44637.37492,0.758383281
3/17/22 9:00,44637.37527,0.774307924
3/17/22 9:00,44637.37562,0.767597502
3/17/22 9:01,44637.37597,0.668972964
3/17/22 9:01,44637.37632,0.849092474
3/17/22 9:02,44637.37667,0.845536378
3/17/22 9:02,44637.37702,0.769561095
3/17/22 9:03,44637.37737,0.799354642
3/17/22 9:03,44637.37772,0.743401905
3/17/22 9:04,44637.37807,0.919728974
3/17/22 9:04,44637.37842,0.977148466
3/17/22 9:05,44637.37876,0.758092542
3/17/22 9:05,44637.37911,0.735943441
3/17/22 9:06,44637.37946,0.829541673
3/17/22 9:06,44637.37981,0.688053148
3/17/22 9:07,44637.38016,0.819958673
