datetime,p2,wind
44572.09306,0.79833,2.9
44572.09653,0.78000,1.8
44572.1,0.50333,2.7
44572.10347,0.48500,2.1
44572.10694,28571.80857,2.3
44572.117360000004,0.57846,2.6
44572.15903,0.53600,2.9
44572.1625,0.39100,3.9
44572.16597,0.47900,3.7
44572.16944,0.44333,4.1
44572.17292,0.47100,3.7
44572.17639,0.44200,3.8
44572.179860000004,0.52400,5.1
44572.19028,0.46522,5.9
44572.19375,0.43778,4.4
44572.19722,0.43250,5.3
44572.20069,0.50600,4.3
44572.20417,0.98000,4.4
44572.21806,0.46800,4.2
44572.22153,0.49700,4.5
44572.225,0.54444,4.0
44572.22847,0.63800,3.7
44572.242360000004,0.63900,5.1
44572.24931,1.88000,5.5
44572.25625,3.28333,4.2
44572.25972,0.78625,2.7
44572.26319,0.36700,4.2
44572.26667,0.37444,4.9
44572.42639,0.41000,0.8
44572.49931,0.41000,0.1
44572.71458,4.69000,1.1
44572.71806,7.30000,1.6
44573.01667,0.89000,2.1
44573.02014,0.48000,4.3
44573.02708,0.72714,1.9
44573.03056,0.64167,1.1
44573.06181,0.81600,5.1
44573.06528,0.48222,3.9
44573.06875,0.40889,2.9
44573.07222,0.45100,2.4
44573.07569,0.50100,3.1
44573.07917,0.52600,4.5
44573.08264,0.69000,2.8
44573.09306,0.72000,1.6
44573.09653,0.66600,1.7
44573.1,0.75500,1.0
44573.11042,0.55250,1.3
44573.12778,1.13000,1.8
44573.13125,0.68400,1.7
44573.13472,0.64900,0.6
44573.13819,0.78600,0.2
44573.14167,0.79000,1.0
44573.14514,0.80900,0.5
44573.148610000004,0.88333,0.9
44573.15903,1.09214,0.8
44573.1625,0.56778,1.0
44573.16597,0.61800,1.5
44573.19722,0.70071,0.7
44573.211110000004,1.20000,0.4
44573.21458,0.68400,0.6
44573.25278,0.50444,3.3
44573.25625,0.45571,3.1
44573.26667,0.73400,2.3
44573.27014,0.74286,2.1
44573.273610000004,1.57286,1.4
44573.27708,0.67222,1.3
44573.28056,0.54500,0.2
44573.28403,0.54125,1.2
44573.2875,0.66333,0.5
44573.29792,0.47857,1.1
44573.30139,0.44833,0.1
44573.304860000004,0.96750,0.3
44573.30833,0.45500,0.1
44573.31181,0.47800,0.8
44573.31528,0.46167,0.6
44573.31875,0.47833,0.9
44573.32222,0.56100,0.4
44573.33264,0.46074,0.5
44573.336110000004,0.40667,0.6
44573.34653,0.46167,0.1
44573.35,0.42429,0.7
44573.35347,0.48300,0.3
44573.35694,0.50286,0.1
44573.42292,0.57000,0.5
44573.50972,0.57000,0.9
44573.6625,1.97500,2.3
44573.69375,5.96500,1.2
44573.69722,2.89500,2.3
44573.70069,50000.90500,3.0
44574.023610000004,0.66167,3.5
44574.02708,0.73300,4.3
44574.03056,0.56250,4.0
44574.03403,0.40000,0.3
44574.0375,0.45800,2.7
44574.04097,0.43800,6.2
44574.04444,0.44600,4.6
44574.04792,0.41143,5.9
44574.05139,0.45125,2.6
44574.054860000004,0.39700,4.7
44574.05833,0.40111,3.2
44574.06181,0.46167,3.7
44574.06528,0.43400,3.6
44574.06875,0.38000,3.5
44574.07222,0.29143,2.7
44574.07569,0.40000,3.0
44574.07917,0.36000,5.3
44574.08264,0.30857,3.5
44574.086110000004,0.35143,2.6
44574.08958,0.29556,1.6
44574.09306,0.26222,1.5
44574.10347,0.28167,1.4
44574.11389,0.32400,3.4
44574.117360000004,0.38714,1.8
44574.12083,0.96333,0.1
44574.12431,0.77500,0.7
44574.14167,0.41800,0.6
44574.14514,0.44714,0.5
44574.148610000004,0.40429,0.4
44574.15208,0.39900,0.2
44574.15556,0.38000,0.6
44574.15903,0.41700,0.4
44574.16667,0.32643,0.8
44574.17639,0.41043,0.8
44574.179860000004,0.33200,1.0
44574.18333,0.25400,0.7
44574.18681,0.24250,1.0
44574.19028,0.33571,0.4
44574.19375,0.35600,0.5
44574.19722,0.36600,0.1
44574.20069,0.35800,0.1
44574.20417,0.38200,0.3
44574.20764,0.42875,1.7
44574.211110000004,0.45500,0.5
44574.21458,0.34000,1.0
44574.225,0.32714,1.7
44574.23542,0.36286,1.5
44574.23889,0.31222,0.9
44574.25625,0.32367,1.6
44574.25972,0.33900,1.7
44574.26319,0.33900,1.2
44574.26667,0.31200,0.8
44574.27014,0.38714,1.2
44574.273610000004,0.29700,0.9
44574.27708,0.30500,0.4
44574.28056,0.32300,1.1
44574.28403,0.27000,0.2
44574.2875,0.35600,0.3
44574.29097,0.34700,0.5
44574.29444,0.63889,0.3
44574.29792,0.47667,0.9
44574.30139,0.37000,0.7
44574.304860000004,0.38900,1.2
44574.30833,0.30700,1.0
44574.31181,0.31400,1.1
44574.31528,0.37000,1.2
44574.31875,0.39100,0.4
44574.32222,0.38600,1.2
44574.32569,0.35500,0.9
44574.32917,0.37100,1.4
44574.33264,0.25167,0.2
44574.336110000004,0.34100,0.7
44574.33958,0.33875,0.2
44574.42292,0.29000,0.4
44574.49931,0.29000,0.5
44574.69792,4.79000,0.3
44574.70833,2.98333,0.5
44575.16944,3.66000,2.9
44575.429860000004,3.04000,4.0
44575.725,4.80500,4.1
44575.72847,1.76000,5.4
44576.423610000005,1.76000,2.5
44576.53819,1.76000,2.1
44577.42292,1.76000,4.4
44577.49931,1.76000,7.7
44578.42292,1.76000,10.0
44578.49931,1.76000,11.2
44579.43056,1.76000,10.8
44580.423610000005,1.76000,12.1
44581.42292,1.76000,12.7
44581.49583,1.76000,14.9
44582.423610000005,1.76000,6.3
44582.496530000004,1.76000,8.5
44583.42292,1.76000,2.4
44583.5375,1.76000,3.9
44584.423610000005,1.76000,0.5
44584.496530000004,1.76000,2.3
44585.429860000004,1.76000,3.2
44585.49583,1.76000,2.0
44586.423610000005,1.76000,1.9
44586.496530000004,1.76000,1.9
44587.42639,1.76000,3.5
44587.50972,1.76000,2.8
44588.42292,1.76000,1.1
44588.496530000004,1.76000,4.1
44589.42292,1.76000,2.2
44589.5,1.76000,3.1
44631.767360000005,5.40500,6.6
44631.77083,4.65000,8.1
44631.98889,3.87000,0.6
44631.992360000004,0.76167,1.1
44631.99583,0.88000,0.6
44632.00625,3.33000,1.0
44632.00972,4.03667,0.6
44632.02708,2.00818,0.5
44632.04444,4.50000,1.2
44632.04792,0.76000,0.6
44632.10694,1.81667,1.2
44632.11042,4.28667,1.5
44632.12083,3.47333,0.9
44632.13125,5.91600,0.8
44632.13472,1.93000,0.9
44632.14514,2.61000,0.4
44632.148610000004,5.25000,0.7
44632.1625,0.58000,0.4
44632.17292,1.31059,0.2
44632.18333,0.59000,0.2
44632.18681,0.54000,0.7
44632.19028,0.53667,1.1
44632.19375,0.48167,1.0
44632.19722,0.51333,0.7
44632.20069,0.59000,0.6
44632.20417,0.56167,0.9
44632.20764,0.57167,0.8
44632.211110000004,0.56600,0.6
44632.32222,0.69000,1.8
44632.32569,0.65857,2.1
44632.34306,0.50588,2.3
44632.34653,0.53750,1.3
44632.35,0.59778,1.8
44632.35347,0.63500,1.0
44632.36389,0.42000,1.2
44632.367360000004,0.63000,1.1
44632.37083,0.62700,0.8
44632.37431,0.60500,0.7
44632.37778,0.83000,0.5
44632.38125,0.69333,0.7
44632.38472,0.55400,0.5
44632.38819,0.64143,0.2
44632.40556,1.72257,0.3
44632.42292,0.85000,0.5
44633.0,0.65000,0.5
44633.003469999996,0.67500,0.3
44633.017360000005,0.69750,1.8
44633.02083,0.71143,1.5
44633.02431,0.68500,1.2
44633.03125,1.32625,1.8
44633.034719999996,1.31500,2.0
44633.045139999995,1.36045,2.1
44633.048610000005,0.69250,1.8
44633.05208,0.64000,1.7
44633.05556,0.56200,1.4
44633.059030000004,0.64222,1.1
44633.0625,0.49250,1.2
44633.065969999996,0.57333,1.7
44633.06944,0.53667,2.0
44633.07292,0.46000,1.6
44633.076389999995,0.46125,1.4
44633.14931,0.43333,4.4
44633.15208,0.41375,4.5
44633.15556,0.50100,4.3
44633.15903,0.48500,4.2
44633.1625,0.49200,4.4
44633.16597,0.48400,3.5
44633.17639,0.94389,3.1
44633.179860000004,0.58833,3.2
